Publication Title,Category,Category2,Language
Rassegna economica delle colonie,Economics,,
Rastenievodstvo S.S.S.R.,ND,,
Records of the Far East Geophysical Institute,ND,,
Recueil des travaux botaniques néerlandais,Botany/Plant Breeding,,
Redogörelse för verksamheten vid Ultuna Lantbruksinstitut [Report on the activities of the Ultuna Agricultural Institute],Agriculture,,
Rep. Ass. Hawaii. Sug. Technol.,Food Science,,
Report of the Iowa State Horticultural Society,Horticulture,,
Reports of the Alaska Agriculture Experiment Station,Agriculture,,
Reports of the Experimental and Research Station Cheshunt,Agriculture,,
"Reports of the Food Investigation Board, Department of Scientific and Industrial Research",Food Science,,
Reports of the National Research Council of Canada,General Science,,
Reports of the Oregon State Horticultural Society,Horticulture,,
Reports of the Quebec Society for the Protection of Plants 1932–34,Botany/Plant Breeding,,
Res. Agric. Ile. Maurice,Agriculture,,
Research Bulletin of the Iowa Agricultural Experiment Station,Agriculture,,
Research Studies of the State College Washington,General Science,,
Rev. Agr. (Dominican Republic),Agriculture,,
Rev. Met. Aerol.,Meteorology,,
Rev. Meteorol.,Meteorology,,
American Review of Reviews,General Science,,
Revista Argentina de Agronomia,Agriculture,,
Revista Meteorologica,Meteorology,,
"Revista da Faculdade de Ciências, Universidade de Coimbra",General Science,,
Revista de la Sociedad Cubana de Ingenieros,Engineering,,
Revista de la Sociedad de Estudios Astronómicos y Geofisicos,Physics/Geophysics,,
Revista de la facultad de Agronomía (La Plata),Agriculture,,
Revista del Instituto Agrícola Catalan de Sant Isidre,Agriculture,,
Revista del Instituto de Defensa del Café de Costa Rica,Food Science,,
Revista del Museo de La Plata,Natural History,,
Revue agricole de l'Afrique du Nord,Agriculture,,
Revue de Botanique appliquée aux régions tropicales,Botany/Plant Breeding,,
Revue de Botanique appliquée et d'Agriculture tropicale,Botany/Plant Breeding,,
Revue de Géographie Alpine,Geography,,
Revue de Géographie Régionale,Geography,,
Revue de Viticulture,Food Science,,
Revue de l'Institut International d'Agriculture,Agriculture,,
Revue générale de botanique,Botany/Plant Breeding,,
Revue générale de l'electricité,Engineering,,
Revue générale des Sciences pures et appliquées,General Science,,
Revue horticole,Horticulture,,
Revue scientifique,General Science,,
Rhodesia Agricultural Journal,Agriculture,,
Rivista Ecología,Ecology,,
Rivista di Meteorologia Aeronautica,Meteorology,,
Rocz-i Nauk roln.,ND,,
"Roczniki [Yearbooks] Univ. Marii Curie-Sklodowskiej (Lublin), Dzial B. Geograf.",ND,,
Rolniczych i Lesnych (Poland),ND,,
Rosz. Nauk. Rol. i. Lean.,ND,,
Sankhyā,Physics/Geophysics,,
Sb. Vizra,ND,,
Sborn. Proculymsk. Kraja,ND,,
Sborn. n.-issled. rabot Sev. kavkaz. Zern. Inst.,ND,,
Sborn. naucn. issled. rabot Severn. Kavkaz. Zern. Inst. [The Collection of Scientific Research Works of the North Caucasus Grain Institute],Food Science,,
Schlern-Schriften,ND,,
Schweizer Zeitschrift für Forstwesen,Forestry,,
Schweizerische landwirtschaftliche Monatshefte,Agriculture,,
Science,General Science,,
Science Progress,General Science,,
Scientific Agriculture,Agriculture,,
Scientific American,General Science,,
Scientific Contributions of the New Hampshire Agricultural Experiment Station,Agriculture,,
Scientific Horticulture,Horticulture,,
Scientific Monthly,General Science,,
"Scientific Note, India Meteorological Department",Meteorology,,
Scientific Proceedings of the Royal Dublin Society,General Science,,
Scottish Geographical Magazine,Geography,,
Semjenovodstvo,ND,,
SkogsvFören. Tidskr. Stockh. [Journal Of the Swedish Forest Management Association],Forestry,,
Snow and Ice (Seppyo),Hydrology,,
Soc. Choz. Tatarstana,ND,,
Soc. Choz. Zakavkazia,ND,,
Soc. Rastenievodstvo,ND,,
Soc. Stroitelstvo C. C. O.,ND,,
Soc. choz. Bachkirii,ND,,
Soc. reconstr. choz.,ND,,
Soc. rekonstr. sel. choz.,ND,,
Societas Scientiarum Fennica-Commentationes Physico-Mathematicae,Physics/Geophysics,,
Soil Science,Soil Science,,
Sonderausgabe des Mühlenlaboratoriums,Food Science,,
Sotsialisticheskoe zemledelie [Socialist Farming],Agriculture,,
Sotsialisticheskoe zernovoe fabrika [Socialist Grain Factory],Economics,,
Sotsialisticheskoe zernovoe khoziaistvo [Socialist Grain Economy],Economics,,
South African Journal of Science,General Science,,
Sov. Kauçuk [Soviet Rubber],Commodities,,
Sov. Kraevedenie [Soviet Local Studies],ND,,
Sov. Sachar.,ND,,
Sov. Sever.,ND,,
Sov. Subtropiki,ND,,
Sovetskaya botanika [Soviet Botany],ND,,
Strahlentherapie,Medicine/Physiology,,
Svensk Botanisk Tidskrift [Swedish Botanical Journal],Botany/Plant Breeding,,
Svensk Geografisk Årsbok [Swedish Geografical Yearbook],Geography,,
Svenska Mosskulturföreningens Tidskrift,ND,,
Svenska skogsvårdsföreningens tidskrift [Journal of the Swedish Forest Management Association],Forestry,,
Sveriges Utsädesförenings Tidskrift [Journal of the Swedish Seed Association],Botany/Plant Breeding,,
Tab. Prom.,ND,,
Techn. Soc. Zemled,ND,,
Technical Bulletin University of Arizona Agricultural Experiment Station,Agriculture,,
Technical Bulletin of the U.S. Department of Agriculture,Agriculture,,
Terra (Helsingfors),Geography,,
Terre Vaudoise,Agriculture,,
Tharandter forstliches Jahrbuch,Forestry,,
The Agricultural Gazette of New South Wales,Agriculture,,
The American Naturalist,Natural History,,
The Astrophysical Journal,Physics/Geophysics,,
The Australian Journal of Experimental Biology and Medical Science,Biology,Medicine/Physiology,
The Botanical Review,Botany/Plant Breeding,,
The California Citrograph,Food Science,,
The Canadian Entomologist,Entomology,,
The East African Agricultural Journal,Agriculture,,
The Gardeners' Chronicle,Gardening,,
The Geographical Journal,Geography,,
The Journal of Agricultural Science,Agriculture,,
The Journal of General Physiology,Medicine/Physiology,,
The Journal of Physical Chemistry,Chemistry,Physics,
The Journal of the Department of Agriculture (Victoria),Agriculture,,
"The London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science",General Science,,
The Malaysian Forester,Forestry,,
The Philippine Journal of Science,General Science,,
The Plant World,Botany/Plant Breeding,,
The Quarterly Review of Biology,Biology,,
The Science reports of the Tōhoku Imperial University,General Science,,
The Scientific Monthly,General Science,,
Tidsskrift for skogbruk [Journal for Forestry],Forestry,,
Tijdschrift over plantenziekten [Journal of plant disease],Botany/Plant Breeding,,
Torreya,Botany/Plant Breeding,,
Trans. Bur. Agromet.,Agriculture,Meteorology,
Transactions of the Entomological Society of London,Entomology,,
Transactions of the Illinois State Horticultural Society,Horticulture,,
Transactions of the Illuminating Engineering Society,Engineering,,
Transactions of the Kansas Academy of Science,General Science,,
Transactions of the Norfolk and Norwich Naturalists' Society,Natural History,,
Transactions of the Peninsula Horticultural Society,Horticulture,,
Transactions of the Royal Society for Tropical Medicine and Hygiene,Medicine/Physiology,,
Transactions of the Royal Society of Canada,General Science,,
Transactions of the Royal Society of Canada (Section 3),General Science,,
Transactions of the Royal Society of Edinburgh,General Science,,
Transactions of the Royal Society of South Australia,General Science,,
Transactions of the South African Philosophical Society,General Science,,
Tropical Agriculturist (Ceylon),Agriculture,,
Trud. Daljnvostocn. Geofizin'a,ND,,
Trud. Inst. Sach. Prom.,ND,,
Trud. Inst. Sel. Choz. microbiolog.,ND,,
"Trudy Akad. Nauk S.S.S.R., Dal'nevostochnaia gornotaezhnaia stantsiia Khabarovsk",ND,,
Trudy Botanicesk. Sada Sredn. Azii,ND,,
Trudy Centr. Stanc. rissov. choz.,ND,,
Trudy Inst. Sach. Prom.,ND,,
Trudy Inst. Tabacn. Prom.,ND,,
Trudy Inst. Zern. choz. [Proceedings of the Institute for Grain Farming],ND,,
Trudy Inst. juzn. plodov i jagodn. choz.,ND,,
Trudy Leningr. Otd. Inst. Udobren. Mat. po charakter. pocv. Kazakstana,ND,,
Trudy Torf. Inst.,ND,,
Trudy Uralsk. Filiala. Akad. Nauk.,ND,,
Trudy Vtorogo Geograf. S' ezda,ND,,
Trudy po Sel. Choz. Meteorolog.,ND,,
"Trudy po prikladnoi botanike, genetike i selektsii [Bulletin of Applied Botany, Genetics, and Plant Breeding]",ND,,
"Trudy po prikladnoi botanike, genetike i selektsii [Bulletin of Applied Botany, of Genetics and Plant Breeding]",ND,,
"Trudy po prikladnoi botanike, genetike i selektsii. Seriya  3. Fiziologiya,  biokhimiya i anatomiya rastenii [Bulletin of Applied Botany, Genetics, and Plant Breeding. Series 3. Physiology, biochemistry and anatomy of plants]",ND,,
"Trudy po prikladnoi botanike, genetike i selektsii. Seriya 1. Sistematika, ekologiya i geografii rastenii [Bulletin of Applied Botany, Genetics, and Plant Breeding. Series 1. Systematics, ecology and plant geography.]",ND,,
"Trudy po prikladnoi botanike, genetike i selektsii. Seriya 9. Tekhnicheskie kul’tury [Bulletin of Applied Botany, Genetics, and Plant Breeding, Series 9, Technical Cultures]",ND,,
"Trudy po prikladnoi botanike, genetike i selektsii. Seriya A. Sotsialisticheskoe  rastenievodstva [Bulletin of Applied Botany, Genetics, and Plant Breeding. Series A. Socialist crop production]",ND,,
Trudy po sel'skokhoziaistvennoi meteorologii  [Trans. Bur. Agromet.],ND,,
Tycos,Scientific Instruments,,
Tübinger geographische und geologische Abhandlungen,Geography,Geology,
Umi to Sora [Sea and Sky],ND,,
United States Department of Agriculture Technical Bulletin,Agriculture,,
University of California publications in agricultural sciences,Agriculture,,
University of California publications in botany,Botany/Plant Breeding,,
University of Michigan Studies,General Science,,
Uzbekistan,ND,,
Vermont Botany and Bird Clubs Joint Bulletin,Natural History,,
Veröffentlichungen des Geophysischen Instituts der Universität Leipzig,Physics/Geophysics,Meteorology,
Vestnik Akademii Nauk S.S.S.R. [Bulletin of the Academy of Sciences of the USSR],ND,,
Vestnik E.G.M.S. [Journal of the United Hydrometeorological Service],ND,,
Vestnik Znania [Herald of Knowledge],ND,,
Water and Water Engineering (London),Hydrology,,
Weather,Meteorology,,
Wetter und Klima [Weather and climate],Meteorology,,
Wetter und Leben [Weather and life],Meteorology,,
Wiad. Koresp. roln. GUS,ND,,Polish
Wiad. Służby Hydrol. i Meteorol.,ND,,Polish
Wiad. meteorol. i hydrol.,ND,,Polish
Wiadomości Służby Hydrologicznej i Meteorologicznej,ND,,Polish
Wiener Allgemeine Forst- und Jagdzeitung,Forestry,,
Wiener landwirtschaftliche Zeitung,Agriculture,,
Wiener milchwirtschaftliche Berichte,Food Science,,
Wisconsin Horticulture,Horticulture,,
Wissenschaftliches Archiv für Landwirtschaft. Abteilung A: Archiv für Pflanzenbau,Agriculture,,
Yearbook of the Carnegie Institution in Washington,General Science,,
Ymer,ND,,
Z. Meteorol.,ND,,
Za industrializ. sov. Vostoka,ND,,
Za nov. volokno,ND,,
Zeitschrift der Gesellschaft für Erdkunde zu Berlin,Geography,,
Zeitschrift für Botanik,Botany/Plant Breeding,,
Zeitschrift für Forst und Jagdwesen,Forestry,,
Zeitschrift für Forst und Jagdwirtschaft,Forestry,,
Zeitschrift für Geophysik,Physics/Geophysics,,
Zeitschrift für Heil- und Gewürzpflanzen,Botany/Plant Breeding,,
Zeitschrift für Instrumentenkunde,Scientific Instruments,,
"Zeitschrift für Pflanzenernährung, Düngung, Bodenkunde",Botany/Plant Breeding,Agriculture,
Zeitschrift für Pflanzenkrankheiten und Pflanzenschutz,Botany/Plant Breeding,,
Zeitschrift für Pflanzenzüchtung,Botany/Plant Breeding,,
Zeitschrift für Weltforstwirtschaft,Forestry,Economics,
Zeitschrift für angewandte Entomologie,Entomology,,
Zeitschrift für angewandte Meteorologie,Meteorology,,
Zeitschrift für angewandte Photographie in Wissenschaft und Technik,Scientific Instruments,,
Zeitschrift für wissenschaftliche Biologie. Abteilung C,Biology,,
Zeitschrift für wissenschaftliche Biologie. Abteilung E,Biology,,
Zeitschrift für wissenschaftliche Zoologie,Zoology,,
Zhur. Obshch. Khim.,ND,,
Zoological Journal of the Linnean Society,Zoology,,
Zuckerrübenbau,Food Science,,
[Bull. Pl. Protection I ser. Ent. (U.S.S.R.)],Botany/Plant Breeding,,
[Comptes rendu de'l Academie des Sciences d'U.R.S.S.],General Science,,
[Grain Prod. J. (U.S.S.R.)],Food Science,,
Österreichische Botanische Zeitschrift,Botany/Plant Breeding,,
Österreichische Gartenzeitung,Gardening,,
Österreichs Waidwerk. Beilage: Die Forstwirtschaft,Forestry,,
Žurnal Geofizika [Journal of Geophysics],Physics/Geophysics,,
