,Key,Item Type,Publication Year,Author,Title,Publication Title,ISSN,DOI,Url,Abstract Note,Date,Pages,Num Pages,Issue,Volume,Series,Publisher,Place,Language,Type,Archive,Library Catalog,Extra,Manual Tags,Number
861,UNKMSTMJ,report,1932,"Magoon, C. A.; Culpepper, C. W.",Response of sweet corn to varying temperatures from time of planting to canning maturity,,,,,,1932,40 pp,,,,,,,English,United States Department of Agriculture Technical Bulletin,,,2B_p2_4,,312
862,LNUTD336,journalArticle,1933,"Hurd-Karrer, A. M.",Comparative responses of a spring and a winter wheat to day lenght and temperature,Journal of Agricultural Research,,,,,1933,867–888,,10,46,,,,English,,+ WB 01519; + WB 01959,,2B_p2_3,US Department of Agriculture,
863,G9G7EGQJ,journalArticle,1933,"Waldron, L. R.",Yield and protein content of hard red spring wheat under conditions of high temperature and low moisture,Journal of Agricultural Research,,,,,1933,129–147,,3,47,,,,English,,,,2B_p2_2,North Dakota Agricultural Experiment Station,
864,ZKH8FXNW,journalArticle,1931,"Newton, R.; Anderson, J. A.",Respiration of winter wheat plants at low temperatures,Canadian Journal of Research,,10.1139/cjr31-074,,"Respiration measurements at −7°, 0° and 7 °C. with four winter wheat varieties and two spring wheat varieties grown in the field, were carried on during the fall and early winter of four years. The rate of respiration in winter wheat decreased as the plants hardened. At the outset all varieties respired about alike. After hardening began, the rates at −7 °C. were in the inverse order of hardiness, with the spring wheats faster than the least hardy winter wheat. As hardening progressed, the differentiation of the winter varieties at −7 °C. became sharper, and could be observed also at 0 °C., but at 7 °C. very little if any relationship of this sort developed. The spring varieties, because of frost damage, could not be compared with winter varieties in the fully hardened condition, but their behavior early in the season confirms the general conclusion that at the freezing point or lower temperatures respiratory activity is inversely related to winter hardiness. This accounts for the observed fact that hardy varieties maintain their sugar reserves better than non-hardy varieties during the winter.",1931,337–354,,3,5,,,,English,,,,2B_p2_1,,
865,F9WPYFGV,journalArticle,1932,"Waldron, L. R.",Differences of injury by frost to wheat plants grown comparably,Journal of the American Society of Agronomy,,10.2134/agronj1932.00021962002400060009x,https://dl.sciencesocieties.org/publications/aj/abstracts/24/6/AJ0240060494/preview,,1932,494–500,,6,24,,,,English,,,,2B_p1_9,,
866,7VQVFWUF,journalArticle,1932,"Smith, W. K.",The effect of different temperatures on the reaction of Hope wheat to bunt,Phytopathology,,,,,1932,615–627,,7,22,,,,English,,,,2B_p1_8,,
867,E7CN992F,journalArticle,1930,"Busse, W. F.",Effect of low temperatures on germination of impermeable seeds,Botanical Gazette,,10.1086/334043,https://www.journals.uchicago.edu/doi/10.1086/334043?mobileUi=0&,"1. Dormancy of seeds due to an impermeable seed coat may often be broken by cooling the seeds to very low temperatures. 2. Impermeable sweet clover and alfalfa seeds may be made permeable without injuring, by freezing the air-dry seeds in liquid air (-190⚬C.). 3. Sweet clover seeds were not injured by keeping them in liquid air for nearly six months (175 days); and rapidly cooling seeds down to -190⚬C. twenty times, followed each time by a very rapid warming, did not injure them. 4. Cooling to -80⚬C. caused most of the impermeable alfalfa seeds to become permeable, but this treatment had very little effect on impermeable sweet clover seeds. 5. Freezing air-dry seeds to very low temperatures had no appreciable effect on their keeping power. 6. The average specific heat of air-dry alfalfa seeds between 20° and -190 °C. is about 0.21 cal. per degree. 7. The process of destroying the impermeability of alfalfa seeds by intense freezing appears to be a practical one for large-scale operations.",1930,169–179,,2,89,,,,English,,+ WB 02428,,2B_p2_7,,
868,3N548JAA,journalArticle,1931,"Shirley, H. L.",The influence of light and temperature upon the utilization by young seedlings of organic reserves in the seed,American Journal of Botany,,10.1002/j.1537-2197.1931.tb04943.x,https://bsapubs.onlinelibrary.wiley.com/doi/10.1002/j.1537-2197.1931.tb04943.x,,1931,717–727,,9,18,,,,English,,,,2B_p2_8,,
869,84Q2URK6,journalArticle,1932,"Smith, O.","Relation of temperature to anthesis and blossom drop of the tomato, together with a histological study of the pistils",Journal of Agricultural Research,,,https://naldc.nal.usda.gov/download/IND43968129/PDF,,1932,183–190,,2,44,,,,English,,,,2B_p3_6,Oklahoma Agricultural Experiment Station,
870,YTSGUGQR,journalArticle,1931,"Wright, R. C.; Pentzer, W. T.; Whiteman, T. M.; Rose, D. H.",Effect of various temperatures on the storage and ripening of tomatoes,United States Department of Agriculture Technical Bulletin,,,,,1931,35 p,,,268,,,,English,,,,2B_p3_5,,
871,4D8WVQYC,journalArticle,1933,"Mac Gillivray, J. H.",Tomato colour as affected by processing temperatures [1933],Reports of the Experimental and Research Station Cheshunt,,,,,1933,1692,,7,7,,,,English,,,,,,
872,AJCPT3MZ,journalArticle,1932,"Mac Gillivray, J. H.",Tomato colour as affected by processing temperatures [1932],Proceedings of the American Society for Horticultural Science,,,,,1932,353–359,,,28,,,,English,,,,2B_p3_2,,
873,LR6IF6GW,report,1932,"Hibbard, R. P.",The various effects of frost protectors on tomato plants,,,,https://babel.hathitrust.org/cgi/pt?id=uiug.30112019642138;view=1up;seq=6,,1932,36p,,,,,,,English,Technical Bulletin of the Michigan Agricultural Experiment Station,,,2B_p3_1,,124
874,Z95SZ994,journalArticle,1932,"Nichols, H. E.; Lantz, H. L.",The persistence of winter injury in certain Delicious hybrids,Proceedings of the American Society for Horticultural Science,,,,,1932,103–106,,,28,,,,English,,,,2B_p2_13,,
875,S6XZ65EH,journalArticle,1932,"Nichols, E. S.",Some phases of fruit-frost work in southern Alabama,Bulletin of the American Meteorological Society,,10.1175/1520-0477-13.2.21b,https://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-13.2.21b,,1932,21–24,,2,13,,,,English,,,,2B_p2_11; 2B_p13_3,,
876,KE9C56VE,journalArticle,1930,"Lommel, W. E.; Greene, L.",Some effects of late spring frosts upon the viability of apple pollen,Proceedings of the American Society for Horticultural Science,,,,,1930,404–405,,,27,,,,English,,,,2B_p2_10,,
877,6FDPBE3E,journalArticle,1930,"Hansen, N. E.",Fruit stocks where the mercury freezes,Report and Proceedings of the 9th International Horticultural Congress in London,,,,,1930,307–311,,,,,,,English,,,,2B_p3_7,,
878,PMDSLLD8,journalArticle,1931,"Tindale, G. B.","Blue and green moulds of oranges. Sources of methods of infection, together with a study of temperature in relation to infection periods","The Journal of the Department of Agriculture, Victoria",,,,,1931,101–104,,,29,,,,English,,,,2B_p3_10,,
879,RPJINR3N,journalArticle,1932,"McIndoe, G. H.",Effects of the November frosts in Otago orchards,New Zealand Journal of Agriculture,,,,,1932,217,,3,44,,,,English,,,,2B_p3_9,,
880,C2Y95I5L,journalArticle,1930,"Bouget, J.; Davy de Virville, A.",Effects of inversion of temperature on annual cycle of development of vegetation in the Pyrenees,Revue générale de botanique,,,,,1930,337–347,,486,41,,,,French,,,,2B_p6_2,,
881,PD86NH32,journalArticle,1932,"Gassies, J. P.","Experiment in frost protection in an orchard in the department of Indre-et-Loire, France",La Météorologie (Paris),,,,,1932,483–487,,92–93,8,,,,French,,,,2B_p6_1,,
882,PWGDKY9X,journalArticle,1929,"Faes, H.; Staehelin, M.",The severe cold of the winter 1928–1929 and the vineyards of the Italian Switzerland,Terre Vaudoise,,,,,1929,,,,,,,,French,,,,2B_p5_12,,
883,D2TVK9H9,journalArticle,1932,"Dufrénoy, J.",Corrélation entre la température de l'air et la vitesse de croissance de la vigne [The correlation between the temperature of the air and the rate of growth of the vine],Comptes rendus hebdomadaires des séances de l'Académie des sciences,,,,,1932,639–640,,,194,,,,French,,,,,,
884,ALANBLCN,journalArticle,1933,"Crepin, C.",The effects of the frost of the 23rd April (1933) on cereals,Journal d'Agriculture pratique,,,,,1933,478–479,,24,97,,,,French,,,,,,
885,4WU4M8TW,journalArticle,1933,"Crépin, C.",Les effets de la gelée du 23 avril sur les céréales [The effects of the frost of the 23rd April on cereals],Comptes rendus hebdomadaires des séances de l'Académie d'Agriculture de France,,,https://gallica.bnf.fr/ark:/12148/bpt6k6204502g/f698.item.r=688,,1933,688–693,,,19,,,,French,,,,2B_p5_9,,
886,9AZ6HTLK,journalArticle,1927,"Gain, E.",Effect of high temperature on seed and the morphology of plants produced from embryos exposed to 115°C – 155°C,Revue générale de botanique,,,,,1927,306–329,,461,39,,,,French,,,,2B_p5_10,,
887,PWCNDLVP,journalArticle,1931,"Papadakis, J.",Study of the effect of temperature conditions during early growth upon relative earliness and earing of spring wheats. Cold as a positive factor of wheat yield,Bulletin de l'Association Internationale des Sélectionneurs de Plantes,,,,,1931,98–105,,1,4,,,,French,,,,2B_p5_8,,
888,4NZXRFWQ,journalArticle,1931,"Lauritzen, J. I.",Some effects of chilling temperatures on sweet potatoes,Journal of Agricultural Research,,,,,1931,617–627,,10,42,,,,English,,,,2B_p5_7,US Department of Agriculture,
889,3LKHNURU,journalArticle,1930,"Young, F. D.",Development of orchard heating,Bulletin of the American Meteorological Society,,10.1175/1520-0477-11.12.196,https://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-11.12.196,,1930,196–199,,12,11,,,,English,,,,2B_p5_6,,
890,KD5QV8Y2,journalArticle,1930,"Carolus, R. L.",Effect of seasonal temperatures on chemical composition of kale (Brassica oleracea var. acephala),Proceedings of the American Society for Horticultural Science,,,,,1930,502–508,,,27,,,,English,,,,2B_p5_4,,
891,FBQI6I6D,journalArticle,1932,"Timmons, F. L.; Salmon, S. C.",The resistance of certain varieties and regional strains of alfalfa to controlled low temperatures,Journal of the American Society of Agronomy,,,https://dl.sciencesocieties.org/publications/aj/abstracts/24/8/AJ0240080642/preview/pdf,,1932,642–655,,8,24,,,,English,,,,2B_p5_3,,
892,VGQDNUW8,report,1931,"Johnson, J.; Ogden, W. B.",The relation of air conditions (humidity and temperature) to tobacco curing,,,,,,1931,48pp,,,,,,,English,Bulletin of the Wisconsin Agricultural Experiment Station,,,2B_p5_1,,110
893,PLPRJ6F9,journalArticle,1931,"Filinger, G. A.","The effect of temperature on feeding and development of the greenhouse leaftyer, Phlyctaenia ferrugalis HB",Journal of Economic Entomology,,10.1093/jee/24.1.52,https://academic.oup.com/jee/article-abstract/24/1/52/879502,,1931,52–54,,1,24,,,,English,,,,2B_p4_12,,
894,XHD93LQT,journalArticle,1931,"Martin, J. H.; Harris, J. A.; Jones, I. D.",Freezing-point depression and specific conductivity of sorghum tissue fluids,Journal of Agricultural Research,,,,,1931,57–69,,2,42,,,,English,,,,2B_p4_11,"US Department of Agriculture; Department of Botany, University of Minnesota",
895,PG9Y4TQA,journalArticle,1931,"Steinbauer, C. E.; Steinbauer, G. P.",Effects of temperature and dessication during storage on germination of seeds of the American elm (Ulmus americana L.),Proceedings of the American Society for Horticultural Science,,,,,1931,441–443,,,28,,,,English,,,,2B_p4_10,,
896,TRUGNE4L,journalArticle,1932,"Lund, E. J.",Comparison of the effects of temperature on the radial and longitudinal electric polarities in wood and cortex of the Douglas fir,Plant Physiology,,,https://www.jstor.org/stable/40020957,,1932,505–516,,3,7,,,,English,,,,2B_p4_9,,
897,Y2AWDLQ8,journalArticle,1931,"Newton, R.; Brown, W. R.",Frost precipitation of proteins of plant juice,Canadian Journal of Research,,10.1139/cjr31-056,https://www.nrcresearchpress.com/doi/pdf/10.1139/cjr31-056,,1931,87–110,,1,5,,,,English,,,,2B_p4_8,,
898,UI9ZSQWH,journalArticle,1931,"Newton, R.; Brown, W. R.; Anderson, J. A.",Chemical changes in nitrogen fractions of plant juice on exposure to frost,Canadian Journal of Research,,10.1139/cjr31-072,https://www.nrcresearchpress.com/doi/pdf/10.1139/cjr31-072,,1931,327–332,,3,5,,,,English,,,,2B_p4_7,,
899,2NAV7ZTR,journalArticle,1929,"Patwardhan, V. G.; Apte, N. G.",The chemical study of the effect of frost on cane crop and gur-making from frost-affected canes in the district of Ahmednugar in 1929,Agriculture and Livestock in India,,,,,1929,177–188,,2,1,,,,English,,,,2B_p4_6,,
900,KNHDSNM8,journalArticle,1932,"Ezekiel, W. N.; Taubenhaus, J. J.",Leaf temperatures of cotton plants with Phymatotrichum root rot,Science,,0.1126/science.75.1945.391,http://science.sciencemag.org/content/75/1945/391,,1932,391–392,,1945,75,,,,English,,,,2B_p4_4,,
901,T2BWT4NC,journalArticle,1932,"Ludwig, C. A.",The germination of cottonseed at low temperatures,Journal of Agricultural Research,,,https://naldc.nal.usda.gov/download/IND43968109/PDF,,1932,367–380,,4,44,,,,English,,,,2B_p4_3,South Carolina Agricultural Experiment Station,
902,ADFPNMVA,journalArticle,1929,"Kikkawa, S.",The influence of temperature of irrigation water on the growth and yield of rice,Proceedings of the Imperial Academy (Tokyo),,10.2183/pjab1912.5.303,https://www.jstage.jst.go.jp/article/pjab1912/5/7/5_7_303/_article/-char/en,,1929,303–305,,7,5,,,,English,,,,2B_p4_1,,
903,UM5W5FQK,journalArticle,1933,"Blake, M. A.",Effects of temperature on peaches,Bulletin of the New Jersey Agricultural Experiment Station,,,,,1933,5,,4,15,,,,English,,,,2B_p3_13,,
904,28VIBK5R,journalArticle,1927,"Schade, A.",Temperature relations of certain bryophytes and lichens,ISIS (Dresden),,,,,1927,38–55,,,,,,,German,,,,2B_p6_11,,
905,UR4XGHDX,journalArticle,1931,"Gassner, G.; Rabien, H.",Frost resistance tests on cereal stems,Der Züchter,,,,,1931,297–300,,1,3,,,,German,,,,2B_p6_10,,
906,74JXCWZU,journalArticle,1932,"Fucks, W. H.",On the testing of the cold resistance of winter cereals,Fortschritte der Landwirtschaft,,,,,1932,106–110,,4,7,,,,German,,,,2B_p6_9,,
907,52MRLUKL,journalArticle,1930,"Dörfel, F.",On the influence of frost and intermittent temperatures on the germination of various seeds,Botanisches Archiv,,,,,1930,1–50,,1/2,30,,,,German,,,,2B_p6_8,,
908,SFCFLXWX,journalArticle,1931,"Günther, E.",Research into the influence of frost on different soil types and the resulting influence on the growth of oats and barley,Landwirtschaftliche Jahrbücher,,,,,1931,893–921,,6,73,,,,German,,,,2B_p6_7,,
909,GJ74UTIU,journalArticle,1929,"Gassner, C.",The experimental determination of the frost resistance of corn plants,Der Züchter,,,,,1929,257–264,,9,1,,,,German,,,,2B_p6_6,,
910,HMENCK46,journalArticle,1930,"Gulloz, R.",The resistance of tree species to the rigours of the winter of 1928–29,Bulletin de la Société royale forestière de Belgique,,,,,1930,23–28,,1,37,,,,French,,,,2B_p6_4,,
911,G2IXF797,journalArticle,1930,"Mirocknitchenko, J. G.",Correlation between the accumulated temperature of the air and the duration of the complete cycle of vegetation of the cotton plant,La Météorologie (Paris),,,,,1930,7–23,,,6,,,,French,,,,2B_p6_3,,
912,PTJY9F7Z,journalArticle,1929,"Walter, H.","The winter damages to our evergreen plants during the cold period, January - February, 1929, and their causes",Naturwissenschaften,,,,,1929,854–859,,44,17,,,,German,,,,2B_p6_12,,
913,UMKI7QGT,journalArticle,1930,"Jenny, H.",The nitrogen content of the sol as related to the precipitation evaporation ratio,Soil Science,,,,,1930,193–206,,3,29,,,,English,,,,,,
914,JDYG5TJY,journalArticle,1931,Anonymous,Experiments with drought-resisting crops,Chinese Economic Journal,,,,,1931,957–962,,3,9,,,,,,,,,,
915,SH68RK4H,book,1932,"White, W. N.","Method of determining ground-water supplies based on discharge by plants and evaporation from soil. Results of investigations in Escalante Valley, Utah",,,,,,1932,,,,,Water-Supply Paper Washington,,,English,,,,,,
916,S743SU8I,journalArticle,1931,"Penfound, W. T.",Plant anatomy as conditioned by light intensity and soil moisture,American Journal of Botany,,,,,1931,558–572,,7,18,,,,English,,,,,,
917,6PMLRU39,journalArticle,1930,"Newton, R.; Martin, W. M.",Physico-chemical studies on the nature of drought resistance in crop plants,Canadian Journal of Research,,10.1139/cjr30-070,,,1930,385–427,,5,3,,,,English,,,,,,
918,3TUT7UYG,journalArticle,1930,"Newton, R.; Martin, W. M.",Physico-chemical studies on the nature of drought resistance in crop plants,Canadian Journal of Research,,10.1139/cjr30-069,,,1930,336–383,,4,3,,,,English,,,,,,
919,6CNSBNIJ,journalArticle,1930,"Bissland, J. H.",The effect of prolonged drought upon hardy perennials in the nursery,Florists' Exchange and Horticultural Trade World,,,,,1930,37,,6,73,,,,English,,,,,,
920,4P3WU7VJ,journalArticle,1929,Anonymous,A study of drought resistance of plants,Biennial Reports of the Kansas Agricultural Experiment Station,,,,,1929,48–50,,,,,,,English,,,,,,
921,FCZ2QHGR,report,1929,"Craig, J.",Some aspects of soil moisture in the forest,,,,,,1929,,,,,,,,English,Yale University – Schoolf of Forestry – Bulletin,,,,,25
922,CYH6BNBK,report,1931,Anonymous,Soil moisture and the germination and growth of seedling forest trees,,,,,,1931,,,,,,,,English,Bulletin of the Arkansas Agricultural Experiment Station,,,,,268
923,H7HIKXDC,journalArticle,1930,"Harris, J. A.; Lee, H. A.",The properties of the tissue fluids of sugar cane in their possible relation to drought resistance,Hawaiian Planters' Record,,,,,1930,167–177,,2,34,,,,English,,,,,,
924,UGRREN4N,journalArticle,1930,"Kimbrough, W. D.","The quality of strawberries as influenced by rainfall, soil moisture and fertilizer treatments",Proceedings of the American Society for Horticultural Science,,,,,1930,184–186,,,27,,,,English,,,,,,
925,3VEJUVL5,journalArticle,1927,"Ruth, W. A.; Baker, C. E.",Some apple tree and soil moisture relationships,Proceedings of the American Society for Horticultural Science,,,,,1927,245–247,,,,,,,English,,,,,,
926,7PWUNKGV,journalArticle,1931,"Jones, I. D.",Prelimary report on relation of soil moisture and leaf area to fruit development of the Georgia Belle peach,Proceedings of the American Society for Horticultural Science,,,,,1931,23–27,,,28,,,,English,,,,,,
927,6SYZACDK,journalArticle,1931,"Furr, J. S.; Degman, E. S.",Relation of moisture supply to stomatal behaviour of the apple,Proceedings of the American Society for Horticultural Science,,,,,1931,547–551,,,28,,,,English,,,,,,
928,UWNJ95FE,journalArticle,1931,"Overley, F. L.; Overholser, E. L.; Haut, I. A.",The relation of soil moisture and spray applications to stomatal behaviour of Jonathan apples,Proceedings of the American Society for Horticultural Science,,,,,1931,543–546,,,28,,,,English,,,,,,
929,4243J7L9,journalArticle,1930,"Hallstead, A. L.; Coles, E. H.",A preliminary report of the relation between yield of winter wheat and moisture in the soil at seeding time,Journal of Agricultural Research,,,,,1930,467–477,,6,41,,,,English,,,,,,
930,L59W3Q9X,journalArticle,1932,"Robbins, W. J.; Petsch, K. F.",Moisture content and high temperature in relation to the germination of corn and wheat grains,Botanical Gazette,,,,,1932,85–92,,1,93,,,,English,,,,,,
931,AG6ZGXFE,journalArticle,1932,"Jenkins, M. T.",Differential resistance of inbred and crossbred strains of corn to drought and heat injury,Journal of the American Society of Agronomy,,,,,1932,504–508,,6,24,,,,English,,,,,,
932,H3ISYY9T,journalArticle,1931,"Flyorov, K. V.",On the importance of agrotechnical measures improving the heat regime of the soil under cotton,"Trudy po prikladnoi botanike, genetike i selektsii [Bulletin of Applied Botany, Genetics, and Plant Breeding]",,,,,1931,117–128,,5,26,,,,Russian,,,,,,
933,9ETBXTGB,journalArticle,1931,"Makarov, I. I.","The temperature of the soil in the Botanical Garden, Nikita",J. Govern. Bot. Garden. Nikita,,,,,1931,3–22,,4,17,,,,Russian,,,,,,
934,EUADPC46,journalArticle,1930,"Engels, O.",The influence of anuring and of climate on the production and healthy condition of potatoes,Kartoffelbau,,,,,1930,,,2,14,,,,German,,,,,,
935,9AKHQMTS,journalArticle,1930,"Heuser, O.",Researches on the fluctuations of temperature in arable soil,Zeitschrift für Pflanzenzüchtung,,,,,1930,552–567,,9,,,,,German,,,,,,
936,2AG4MAR4,journalArticle,1931,"Bukassow, S.",Sensitiveness of potatoes to frost,Fortschritte der Landwirtschaft,,,,,1931,643–644,,,66,,,,German,,,,,,
937,IMDX5IIZ,journalArticle,1932,"Jung, E.",Weiterer Beitrag zur aggregierenden Einwirkung des Frostes auf den Erdboden [A further contribution to the cumulative effect of frost on the soil],"Zeitschrift für Pflanzenernährung, Düngung, Bodenkunde",,10.1002/jpln.19320240102,,,1932,1,,1,24,,,,German,,,,,,
938,CBYFBZZZ,journalArticle,1931,"Jung, E.",Untersuchungen über die Einwirkung des Frostes auf den Erdboden [Studies on the action of frost on the soil],"Zeitschrift für Pflanzenernährung, Düngung, Bodenkunde",,10.1002/jpln.19310190306,,,1931,326–333,,3,19,,,,German,,,,,,
939,ANCMGG8Z,journalArticle,1933,"Brazier, C. E.; Eble, L.",Sur la mesure de la température près du sol [On the measurement of temperature close to the soil],Comptes rendus hebdomadaires des séances de l'Académie d'agriculture de France,,,,,1933,1050–1054,,30,19,,,,French,,,,,,
940,G32AUH6S,journalArticle,1933,"Camp, A. F.; Mowry, H.; Loacks, K. W.",The effect of soil temperature on the germination of citrus seeds,American Journal of Botany,,10.2307/2436328,,,1933,348–357,,5,20,,,,English,,+ WB 02133,,,,
941,YKB7J3GW,journalArticle,1931,"Haasis, F. W.; Thrupp, A. C.",Temperature relations of lodgepole-pine seed germination,Ecology,,,,,1931,728–744,,4,12,,,,English,,,,,,
942,FVSVZXFD,journalArticle,1932,"Tompkins, C. M.; Pack, D. A.",The effect of temperature on rate of decay on sugar beets by strains of Phoma-betas,Journal of Agricultural Research,,,,,1932,29–37,,1,44,,,,English,,,,,US Department of Agriculture,
943,KCZ2ADGK,report,1931,"McCorkle, W. H.",Determination of soil moisture by the method of multiple electrodes,,,,,,1931,,,,,,,,English,Bulletin of the Texas Agricultural Experiment Station,,,,,426
944,QJAMGSRD,journalArticle,1933,"Mail, G. A.",A soil installation,Soil Science,,,,,1933,285–290,,4,35,,,,English,,,,,,
945,NZNDEKJG,journalArticle,1931,"Wharton, M. F.; Hobart, C.",Studies in lettuce seedbed irrigation under high temperature conditions,Technical Bulletin University of Arizona Agricultural Experiment Station,,,,,1931,283–303,,33,,,,,English,,,,,,
946,RW77ZZ9X,journalArticle,1931,"Smith, A.","Effects of paper mulches on soil temperature, soil moisture and yields of certain crops",Hilgardia,,,,,1931,159–201,,6,6,,,,,,,,,,
947,DTK9ZBFF,journalArticle,1932,"West, E. S.",The effect of a soil mulch on soil temperature,Journal of the Council of Scientific and Industrial Research,,,,,1932,236–246,,4,5,,,,English,,,,,,
948,RCQR6KH8,journalArticle,1932,"Green, R. A.",The effect of temperature upon nitrogen fixation by Azotobacter,Soil Science,,,,,1932,153–161,,3,33,,,,English,,,,,,
949,EJ3A25PT,report,1930,"Jenny, H.",A study on the influence of climate upon the nitrogen and organic matter content of the soil,,,,,,1930,,,,,,,,English,Bulletin of the Missouri Agricultural Experiment Station,,,,,152
950,47HA5ZHX,journalArticle,1932,"Fuller, J. E.; Jones, L. H.",The influence of temperature on the nitrate content of soil in the presence of decomposing cellulose,Soil Science,,,,,1932,337–351,,5,34,,,,English,,+ WB 02177,,,,
951,2QAZCCUR,journalArticle,1932,"Smith, A.",Seasonal subsoil temperature variations,Journal of Agricultural Research,,,,,1932,421–428,,5,44,,,,English,,+ WB 02306,,,California Agricultural Experiment Station,
952,KDP4RM2E,journalArticle,1930,"Haber, E. S.",The effect of temperature on vegetable growing,Report of the Iowa State Horticultural Society,,,,,1930,387–393,,,65,,,,English,,,,,,
953,2CITH72T,journalArticle,1933,"Hagan, H. R.",Hawaiian pineapple field soil temperatures in relation to the Nematode Heterodera radicicola (Greef) Muller,Soil Science,,,,,1933,83–95,,2,36,,,,English,,,,,,
954,L7TVJXAS,journalArticle,1932,"Corkins, C. L.",The temperature relationships of the honeybee cluster under controlled external temperature conditions,Journal of Economic Entomology,,,,,1932,820–825,,4,25,,,,English,,,,,,
955,RWVSH88X,journalArticle,1930,"Mail, G. A.",Winter soil temperatures and their relation to subterranean insect survival,Journal of Agricultural Research,,,,,1930,571–592,,8,41,,,,English,,,,,Minnesota Agricultural Experiment Station,
956,3JEVE5I4,journalArticle,1931,"Ivanov, S. M.",Determination of the frost resistance of plants from the changes induced by frost injury in the electrical conductivity of the sap,"Trudy po prikladnoi botanike, genetike i selektsii [Bulletin of Applied Botany, Genetics, and Plant Breeding]",,,,,1931,283–307,,5,27,,,,Russian,,,,,,
957,BQVDGTDI,journalArticle,1929,"Bystrikov, F.",On the influence of soil reaction to the cold resistance winter rye and wheat,"Trudy po prikladnoi botanike, genetike i selektsii [Bulletin of Applied Botany, Genetics, and Plant Breeding]",,,,,1929,128–149,,3,25,,,,Russian,,,,2B_p14_11,,
958,D7WNUXT8,report,1928,"Novikov, V. A.",Physiological diagnosis of cold and drought resistance of winter rye and wheat,,,,,,1928,128–149,,,,,,,Russian,Proceedings of the All-Russian Congress on Botany,,,,,42
959,I4HY6PEJ,journalArticle,1932,"Ikeno, S.; Fujiwhara, S.",Correations between the yeld of rice-crop in Hokkaido and the winter temperatures at Nemuro and Dutch Harbour,Journal of the Meteorological Society of Japan,,,,,1932,42,,,10,,,,Japanese,,,,2B_p14_9,,
960,DADQTULV,journalArticle,1930,"Leich, E.; Propp, G.",Soil temperatures and plant growth on the island of Hiddensee during stages of transition [Vol 57],Mittheilungen aus dem Naturwissenschaftlichen Verein für Neu-Vorpommern und Rügen in Greifswald,,,,,1930,79–113,,,57,,,,German,,,,2B_p14_7,,
961,3KMK7Z3Q,journalArticle,1931,"Leich, E.; Propp, G.",Soil temperatures and plant growth on the island of Hiddensee during stages of transition [Vol. 58],Mittheilungen aus dem Naturwissenschaftlichen Verein für Neu-Vorpommern und Rügen in Greifswald,,,,,1931,3–40,,,58,,,,German,,,,2B_p14_7,,
962,4ATBRYCR,journalArticle,1930,"Oliver, R.",Means of protecting cultures against frost,La Météorologie,,,,,1930,138–164,,,6,,,,French,,,,2B_p14_6,,
963,ICMHHBY6,journalArticle,1930,"Åkerman, A.",The measure of the resistance to frost of different varieties of plants by means of artificial cold,La Météorologie,,,,,1930,165–178,,,6,,,,French,,,,2B_p14_5,,
964,GJUGHAN5,journalArticle,1932,"Anthoine, A.","Wheats and the cold at Grangeneuve, Fribourg, Switzerland [Les blés et le froid à Grangeneuve (Fribourg en Suisse)]",Journal d'Agriculture pratique (Paris),,,,,1932,207–208,,36,96,,,,French,,,,2B_p14_4,,
965,UGU8UQ9A,journalArticle,1932,"Larose, E.; Vanderwalle, R.",The effect of cold on some high yielding varieties of wheat during the winter of 1931–1932,Bulletin de l'Institut agronomique de Gembloux,,,,,1932,204–222,,3,1,,,,French,,,,2B_p14_3,,
966,U2SCRM8K,journalArticle,1930,"Lode, L. A.",Investigation on the effects of the frosts of the winter of 1928–29 [Vol. 74],Bulletin de la Société Dendrologique de France,,,,,1930,39-46,,,74,,,,French,,,,2B_p11_6,,
967,5657LGS2,journalArticle,1931,"Hodges, J. A.",The effect of rainfall and temperature on corn yields in Kansas,Journal of Farm Economics,,10.2307/1229773,https://www.jstor.org/stable/1229773,,1931,305–318,,2,13,,,,English,,,,2B_p13_1,,
968,BYSU2B5N,journalArticle,1933,"Baldwin, H. I.","Soil temperatures and evaporation in a paper birch-white pine forest, Long Lake, Hamilton County, New York",Ecology,,10.2307/1932579,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.2307/1932579,,1933,75,,1,14,,,,English,,,,2B_p14_2,,
969,LM9TWW9X,book,1927,"Kessler, O. W.","Fröste und Frostbekäpfung im Weinbau [Frosts and frost fighting in viticulture, Vol. 1]",,,,,,1927,,,,1,Mitteilungen der hessischen Lehr- und Versuchsanstalt für Wein- und Obstbau,,Mainz,German,,,,2B_p7_3,,
970,H5264VBT,book,1928,"Kessler, O. W.","Fröste und Frostbekäpfung im Weinbau [Frosts and frost fighting in viticulture, Vol. 2]",,,,,,1928,,,,2,Mitteilungen der hessischen Lehr- und Versuchsanstalt für Wein- und Obstbau,,Karlsruhe,German,,,,2B_p7_3,,
971,YF97T3AU,journalArticle,1931,"Lehmann, P.",Exchange of air among plants,Journal für Landwirtschaft,,,,,1931,283–288,,3,79,,,,German,,,,,,
972,8NZR3MH5,journalArticle,1930,"Figurovsky, J. V.",Analysis of the total air temperature (sum of heat) required by the plant during its period of growth,Pflanzenbau,,,,,1930,36–43,,2,7,,,,German,,,,2B_p7_1,,
